country,year,sb,spread,iln,iln_deu,debt,pb,pbal,g,pie
ITA,1995,2.4301,5.3600,12.2100,6.8500,119.0877,-6.8078,3.8841,2.6828,6.3268
ITA,1996,4.5262,3.1800,9.4000,6.2200,118.8963,-6.1396,4.4221,1.3456,3.9179
ITA,1997,3.9789,1.2200,6.8600,5.6400,116.4905,-2.6123,6.1391,1.9257,1.9444
ITA,1998,3.1198,0.3100,4.8800,4.5700,113.8868,-2.7066,4.8461,1.8044,1.8214
ITA,1999,2.8588,0.2400,4.7300,4.4900,113.0586,-1.5175,4.5942,1.6780,1.6420
ITA,2000,-0.0007,0.3200,5.5800,5.2600,108.7427,-3.3915,3.6824,3.8821,3.0667
ITA,2001,0.7350,0.3900,5.1900,4.8000,108.5131,-4.5152,2.8623,2.0064,2.5843
ITA,2002,1.6662,0.2500,5.0300,4.7800,105.9475,-3.7730,2.5408,0.2699,2.9109
ITA,2003,1.6197,0.1800,4.2500,4.0700,105.1408,-3.6532,1.7144,0.0665,3.0699
ITA,2004,0.3979,0.2200,4.2600,4.0400,104.7421,-4.1208,1.1192,1.4741,2.4771
ITA,2005,1.5696,0.2100,3.5600,3.3500,106.1767,-4.8928,0.3858,0.7624,2.1691
ITA,2006,0.2773,0.2900,4.0500,3.7600,106.2569,-5.0720,0.8097,1.7995,2.7564
ITA,2007,0.6756,0.2700,4.4900,4.2200,103.4635,-3.2007,3.4022,1.4623,2.2857
ITA,2008,3.5232,0.7000,4.6800,3.9800,105.8016,-3.7216,2.3243,-1.0231,3.1577
ITA,2009,8.3687,1.0900,4.3100,3.2200,116.1389,-3.3644,-0.6693,-5.3052,-0.4553
ITA,2010,1.8269,1.3000,4.0400,2.7400,118.7555,-3.2883,0.0944,1.5291,1.5729
ITA,2011,1.7954,2.8100,5.4200,2.6100,119.1269,-2.8436,1.0954,0.6955,2.8940
ITA,2012,6.9034,3.9900,5.4900,1.5000,125.8987,-0.9962,2.1331,-3.1252,2.7043
ITA,2013,5.6938,2.7500,4.3200,1.5700,131.8520,-0.2002,1.9155,-1.8180,1.1207
ITA,2014,3.3730,1.7300,2.8900,1.1600,134.7952,-0.3718,1.7321,-0.0014,0.2458
ITA,2015,1.8742,1.2100,1.7100,0.5000,134.7882,-0.4702,1.6362,0.8857,0.1474
ITA,2016,0.5991,1.4000,1.4900,0.0900,134.2397,-1.0933,1.4818,1.2363,0.5211
ITA,2017,0.6951,1.7900,2.1100,0.3200,133.7410,-1.9325,1.2362,1.6037,1.3463
ITA,2018,1.1191,2.2100,2.6100,0.4000,134.1983,-1.8556,1.4287,0.8266,1.3320
ITA,2019,1.3796,2.2000,1.9500,-0.2500,133.8981,-1.1312,1.8876,0.4292,0.8947
ITA,2020,14.1689,1.6800,1.1700,-0.5100,154.3793,-4.1180,-5.9581,-8.8682,0.2605
ITA,2021,-11.0341,1.1800,0.8100,-0.3700,145.8124,-7.9782,-5.4604,8.9311,1.4822
ITA,2022,-7.2705,2.0200,3.1600,1.1400,138.3452,-9.1000,-4.0272,4.8212,6.7862
ITA,2023,-5.0026,1.8500,4.2800,2.4300,134.6374,-8.0629,-3.5878,0.7154,4.9877
ITA,2024,0.1520,1.3900,3.7100,2.3200,135.3262,-3.9751,0.4394,0.7258,1.3701
GRC,1995,,10.1100,16.9600,6.8500,100.3866,-10.3547,0.9775,2.0998,9.0328
GRC,1996,1.6289,8.2100,14.4300,6.2200,103.7242,-8.3324,2.1487,1.3825,8.6901
GRC,1997,-1.2287,4.2800,9.9200,5.6400,102.5989,-6.5959,2.3455,3.6028,5.7357
GRC,1998,-0.4179,3.9100,8.4800,4.5700,100.7852,-6.9970,1.4799,3.4369,4.6379
GRC,1999,1.9450,1.8100,6.3000,4.4900,102.8429,-6.0452,1.8598,2.6588,2.5331
GRC,2000,1.4489,0.8400,6.1000,5.2600,108.8541,-4.0686,2.8936,4.1378,3.2487
GRC,2001,-1.8381,0.5000,5.3000,4.8000,110.5347,-5.4954,0.8458,4.6504,2.8086
GRC,2002,-2.2455,0.3400,5.1200,4.7800,107.8713,-6.0689,-0.4682,4.6831,1.4202
GRC,2003,-4.3819,0.2000,4.2700,4.0700,104.2586,-8.1585,-3.0144,5.7968,3.5398
GRC,2004,-3.2666,0.2200,4.2600,4.0400,105.4931,-9.5757,-4.1460,5.3779,2.9414
GRC,2005,1.6237,0.2400,3.5900,3.3500,109.8590,-5.8695,-1.5279,1.1835,2.6370
GRC,2006,-5.5192,0.3100,4.0700,3.7600,105.3342,-7.1393,-1.5544,6.4434,3.1837
GRC,2007,-2.3177,0.2800,4.5000,4.2200,104.6372,-8.3883,-2.2409,3.5069,3.4080
GRC,2008,0.7381,0.8200,4.8000,3.9800,110.9073,-11.1528,-5.4336,0.0575,3.8050
GRC,2009,7.1978,1.9500,5.1700,3.2200,128.4818,-14.0315,-10.3144,-4.1193,0.6130
GRC,2010,12.2759,6.3500,9.0900,2.7400,147.8462,-7.6076,-5.3155,-5.6938,3.7026
GRC,2011,22.2823,13.1400,15.7500,2.6100,175.0756,-3.0767,-2.8333,-9.8768,2.9370
GRC,2012,21.9727,21.0000,22.5000,1.5000,164.1132,0.4555,-3.8919,-8.3311,0.9989
GRC,2013,11.3375,8.4800,10.0500,1.5700,180.3660,-4.0226,-9.4327,-2.2721,-1.6697
GRC,2014,6.1073,5.7700,6.9300,1.1600,182.6703,4.5864,0.2431,0.7923,-2.3563
GRC,2015,4.3202,9.1700,9.6700,0.5000,179.6201,1.9114,-2.3238,-0.2283,-1.2979
GRC,2016,4.1588,8.2700,8.3600,0.0900,183.1060,7.2831,3.4280,-0.0318,-0.8480
GRC,2017,0.1130,5.6600,5.9800,0.3200,182.0988,6.7033,3.8612,1.4731,0.2956
GRC,2018,0.1014,3.7900,4.1900,0.4000,189.0290,5.4215,4.2665,2.0647,0.0739
GRC,2019,-1.6887,2.8400,2.5900,-0.2500,183.1725,4.0362,3.7952,2.2772,0.0661
GRC,2020,22.2435,1.7800,1.2700,-0.5100,209.3822,-2.2345,-6.6056,-9.1962,-1.1601
GRC,2021,-16.8719,1.2500,0.8800,-0.3700,197.2862,-3.9409,-4.6138,8.6545,0.9767
GRC,2022,-19.6081,2.3500,3.4900,1.1400,177.0498,-1.9902,0.0318,5.7437,5.8354
GRC,2023,-10.2514,1.5700,4.0000,2.4300,163.9054,-1.7429,2.0329,2.3321,4.6439
GRC,2024,-5.0784,1.0300,3.3500,2.3200,153.5886,0.4092,4.7989,2.2718,3.6453
PRT,1995,,4.6200,11.4700,6.8500,62.2148,-4.5214,0.3576,2.3073,5.0586
PRT,1996,1.3190,2.3400,8.5600,6.2200,63.3122,-4.3905,0.0913,3.5043,2.8591
PRT,1997,-1.1053,0.7200,6.3600,5.6400,58.7155,-3.8674,0.1260,4.4009,3.0410
PRT,1998,-1.6175,0.3100,4.8800,4.5700,55.6157,-5.0444,-1.2476,4.8079,2.5229
